,Unnamed: 0,trip_id,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
54,54,2504070,183316807.0,P1,INBOUND-DOWNTOWN,06:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,06:23:00,11,8.988131780729988,3,LIBERTY AVE + 10TH ST NS,7279,2023-01-01 06:03:00,2023-01-01 06:23:00,0 days 00:20:00,20.0,0.3333333333333333
55,55,6839070,183316807.0,P1,OUTBOUND-SWISSVALE,06:23:00,3,LIBERTY AVE + 10TH ST NS,7279,06:45:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 06:23:00,2023-01-01 06:45:00,0 days 00:22:00,22.0,0.3666666666666666
56,56,7800070,183316807.0,P1,INBOUND-DOWNTOWN,07:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,07:23:00,11,8.988131780729988,3,LIBERTY AVE + 10TH ST NS,7279,2023-01-01 07:03:00,2023-01-01 07:23:00,0 days 00:20:00,20.0,0.3333333333333333
57,57,3547070,183316807.0,P1,OUTBOUND-SWISSVALE,07:23:00,3,LIBERTY AVE + 10TH ST NS,7279,07:45:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 07:23:00,2023-01-01 07:45:00,0 days 00:22:00,22.0,0.3666666666666666
58,58,5975070,183316807.0,P1,INBOUND-DOWNTOWN,08:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,08:23:00,11,8.988131780729988,3,LIBERTY AVE + 10TH ST NS,7279,2023-01-01 08:03:00,2023-01-01 08:23:00,0 days 00:20:00,20.0,0.3333333333333333
59,59,669070,183316807.0,P1,OUTBOUND-SWISSVALE,08:23:00,3,LIBERTY AVE + 10TH ST NS,7279,08:45:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 08:23:00,2023-01-01 08:45:00,0 days 00:22:00,22.0,0.3666666666666666
60,60,5213070,183316807.0,P1,INBOUND-DOWNTOWN,09:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,09:23:00,11,8.988131780729988,3,LIBERTY AVE + 10TH ST NS,7279,2023-01-01 09:03:00,2023-01-01 09:23:00,0 days 00:20:00,20.0,0.3333333333333333
61,61,2469070,183316807.0,P1,OUTBOUND-SWISSVALE,09:23:00,3,LIBERTY AVE + 10TH ST NS,7279,09:45:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 09:23:00,2023-01-01 09:45:00,0 days 00:22:00,22.0,0.3666666666666666
62,62,1966070,183316807.0,P1,INBOUND-DOWNTOWN,10:03:00,3,EAST BUSWASY + SWISSVALE STATION A,16063,10:23:00,11,8.988131780729988,3,LIBERTY AVE + 10TH ST NS,7279,2023-01-01 10:03:00,2023-01-01 10:23:00,0 days 00:20:00,20.0,0.3333333333333333
63,63,9494070,183316807.0,P1,OUTBOUND-SWISSVALE,10:23:00,3,LIBERTY AVE + 10TH ST NS,7279,10:47:00,14,9.600320628332112,3,EAST BUSWASY + SWISSVALE STATION A,16063,2023-01-01 10:23:00,2023-01-01 10:47:00,0 days 00:24:00,24.0,0.4
